NAME_RELEVE;SP_NAME;STRATUM;COVER;CD_NOM
T4206_1;Satureja montana L.;;1;120908
T4206_1;Teucrium montanum L.;;+;126008
T4206_1;Thymus vulgaris L.;;1;126582
T4206_1;Teucrium chamaedrys L.;;+;125981
T4206_1;Sanguisorba minor Scop.;;+;120753
T4206_1;Spartium junceum L.;;+;124453
T4206_1;Quercus lanuginosa;;+;116712
T4206_1;Eryngium campestre L.;;+;97141
T4206_1;Coronilla minima L.;;+;92527
T4206_1;Festuca ovina L.;;2;98425
T4206_1;Aphyllanthes monspeliensis L.;;+;83171
T4206_1;Argyrolobium zanonii (Turra) P. W. Ball;;+;83722
T4206_1;Euphorbia spinosa L.;;+;97673
T4206_1;Carex hallerana Asso;;+;88560
T4206_1;Dorycnium pentaphyllum Scop. =suffruticosum;;1;95284
T4206_1;Brachypodium phoenicoides (L.) Roemer & Schultes;;2;86288
T4206_1;Dianthus caryophyllus L.;;+;94717
T4206_1;Centaurea paniculata L.;;+;89659
T4206_1;Bromus erectus Hudson;;2;86601
T4206_1;Ophrys araneifera;;+;110345
T4206_1;Linum narbonense L.;;+;106320
T4206_1;Ononis minutissima L.;;+;110205
T4206_1;Lavandula officinalis;;2;105313
T4206_1;Juniperus oxycedrus L.;;+;104409
T4206_1;Linum suffruticosum L.;;1;106344
T4206_1;Helianthemum nummularium (L.) Miller;;+;100956
T4206_1;Fumana procumbens (Dunal) Gren. & Godron;;+;99028
T4206_1;Genista hispanica L.;;+;99761
T4206_1;Galium mollugo L.;;1;99473
T4206_1;Hieracium pilosella L.;;+;102352
T4206_10;Teucrium montanum L.;;1;126008
T4206_10;Thymus vulgaris L.;;2;126582
T4206_10;Rhamnus alaternus;;+;117526
T4206_10;Reichardia picroides (L.) Roth;;+;117426
T4206_10;Satureja montana L.;;+;120908
T4206_10;Quercus lanuginosa;;+;116712
T4206_10;Quercus ilex L.;;+;116704
T4206_10;Scabiosa stellata L.;;+;121404
T4206_10;Prunella hyssopifolia L.;;+;115996
T4206_10;Dorycnium pentaphyllum Scop. =suffruticosum;;+;95284
T4206_10;Euphorbia nicaeensis All.;;+;97591
T4206_10;Centaurea paniculata L.;;+;89659
T4206_10;Avenula bromoides (Gouan) H. Scholz;;+;85431
T4206_10;Centaurium erythraea Rafn;;+;89840
T4206_10;Carlina corymbosa L.;;+;89155
T4206_10;Catananche caerulea L.;;+;89330
T4206_10;Festuca ovina L.;;2;98425
T4206_10;Argyrolobium zanonii (Turra) P. W. Ball;;+;83722
T4206_10;Asperula cynanchica L.;;+;84306
T4206_10;Bromus erectus Hudson;;+;86601
T4206_10;Cistus albidus L.;;+;91630
T4206_10;Eryngium campestre L.;;+;97141
T4206_10;Brachypodium phoenicoides (L.) Roemer & Schultes;;2;86288
T4206_10;Briza media L.;;+;86490
T4206_10;Phillyrea angustifolia L.;;+;113142
